Ekin_MeV,Avg_Edep_keV
1,158.75
3,666.364
5,556.667
7,536.667
9,536.667
11,521.667
13,347.5
15,176.667
17,307.5
19,208.333
21,258.333
23,366.923
25,274
27,188
29,162.5
31,133.333
33,101.429
35,238
37,206
39,125
41,111.538
43,107.778
45,110
47,158.571
49,135
51,142
53,160.588
55,128.333
57,117.143
59,115
61,163.333
63,90
65,61.4286
67,38.5714
69,90
71,106.667
73,23.3333
75,70
77,416.667
79,263.333
81,123.333
83,170
85,46
87,32.8571
89,50
91,61.1111
93,45
95,55
97,72
99,90
101,70
103,98.5714
105,24.2857
107,50
109,52.8571
111,73.3333
113,54
115,56.6667
117,52.2222
119,55
121,30
123,26
125,70
127,20
129,36.6667
131,10
133,61.1111
135,138
137,24.2857
139,44.2857
141,40
143,36.6667
145,58.5714
147,75
149,40
151,50
153,35.7143
155,43.3333
157,30
159,32.8571
161,30
163,30
165,56.6667
167,35.7143
169,28.1818
171,10
173,45
175,46
177,30
179,36.6667
181,23.3333
183,25
185,54
187,64.2857
189,26.2825
191,29.3095
193,33.8503
195,68.4608
197,120.303
