Ekin_MeV,Avg_Edep_keV
0.5,501.103
1.5,1373.96
2.5,1759.38
3.5,1628.52
4.5,1377
5.5,1117.5
0.5,505.088
1.5,1131.65
2.5,1264.38
3.5,1029.38
4.5,881.046
5.5,810.839
6.5,741.464
7.5,725.808
8.5,729.503
9.5,808.517
10.5,885.505
11.5,985.266
12.5,1115
0.5,432.346
1.5,1046.4
2.5,1024.97
3.5,753.643
4.5,596.774
5.5,501.088
6.5,428.485
7.5,393.665
8.5,369.993
9.5,335
10.5,320.584
11.5,298.755
12.5,294.339
13.5,280.152
14.5,278.406
15.5,283.124
16.5,293.336
17.5,306.144
18.5,333.657
19.5,430.425
20.5,654.928
21.5,907.93
22.5,1432.5
0.5,102.237
1.5,548.75
2.5,862.5
3.5,603
4.5,583.125
5.5,540
6.5,348.864
7.5,349.423
8.5,302.713
9.5,230.423
10.5,220.9
11.5,180.278
12.5,217.396
13.5,207.081
14.5,187.564
15.5,181.133
16.5,173.163
17.5,151.687
18.5,146.925
19.5,151.038
20.5,144.809
21.5,140.639
22.5,139.389
23.5,138.017
24.5,133.021
25.5,135.588
26.5,136.039
27.5,136.442
28.5,133.862
29.5,136.87
30.5,139.317
31.5,148.865
32.5,164.624
33.5,200.739
34.5,308.397
35.5,518.76
36.5,673.393
0.5,116.912
1.5,369.375
2.5,1276.5
3.5,724.5
4.5,747.5
5.5,435.833
6.5,301.875
7.5,415.5
8.5,426
9.5,769.5
10.5,530.625
11.5,406.5
12.5,364.5
13.5,180
14.5,442.5
15.5,277.5
16.5,146.25
17.5,348.75
18.5,180
19.5,151.5
20.5,166.5
21.5,288.75
22.5,157.5
23.5,197.5
24.5,237.5
25.5,249.808
26.5,255
27.5,172.5
28.5,151.5
29.5,127.5
30.5,266.25
31.5,144.643
32.5,237.5
33.5,107.5
34.5,108.75
35.5,397.5
36.5,125.833
37.5,217.5
38.5,54.6429
39.5,30
40.5,106.5
41.5,112.5
42.5,130
43.5,107.5
44.5,65.3571
46.5,157.5
47.5,130.833
48.5,131.25
49.5,72.5
50.5,97.5
52.5,154.5
53.5,100.5
54.5,219.643
55.5,91.5
56.5,52.5
57.5,150
58.5,210.833
59.5,120
60.5,123.75
61.5,132.5
62.5,75
63.5,22.5
64.5,103.125
65.5,52.5
66.5,192.5
67.5,100.5
68.5,77.5
69.5,15
70.5,22.5
71.5,532.5
72.5,127.5
73.5,57.5
74.5,47.5
75.5,58.5
76.5,52.5
77.5,30
78.5,67.5
80.5,162.5
81.5,50.5645
82.5,48.0988
83.5,48.1571
84.5,47.0492
85.5,46.8962
86.5,49.4143
87.5,51.6051
88.5,54.4182
89.5,59.5811
90.5,72.5568
91.5,124.052
92.5,217.391
93.5,112.5
0.5,161.786
1.5,149.318
2.5,468.75
3.5,781.071
4.5,297.5
5.5,687.5
6.5,363.75
7.5,729.643
8.5,624.643
9.5,240
10.5,952.5
11.5,385.833
12.5,476.25
13.5,221.25
14.5,180
15.5,172.5
16.5,310.5
17.5,302.5
18.5,286.5
19.5,157.5
20.5,280.5
21.5,243.214
22.5,265.833
23.5,592.5
24.5,259.773
25.5,296.25
26.5,225
27.5,176.25
28.5,112.5
29.5,292.5
30.5,146.25
31.5,105
32.5,116.25
33.5,82.5
34.5,162.5
35.5,268.929
36.5,237.5
37.5,153.75
38.5,135
39.5,125
40.5,124.167
41.5,82.5
42.5,118.5
43.5,93.75
44.5,97.5
45.5,115
46.5,172.5
47.5,120
