Time (unixtime),Longitude (deg),Latitude (deg),Altitude (km)
1711148453.419000,-164.051000,56.651000,615.395000
1711148517.420000,-163.471000,60.583000,614.697000
1711148581.419000,-162.656000,64.509000,614.021000
1711148645.419000,-161.476000,68.424000,613.370000
1711148709.419000,-159.693000,72.323000,612.750000
1711148773.419000,-156.800000,76.189000,612.175000
1711148837.419000,-151.530000,79.984000,611.636000
1711148901.419000,-139.937000,83.582000,611.144000
1711148965.419000,-105.963000,86.334000,610.703000
1711149029.419000,-45.446000,85.885000,610.313000
1711149093.419000,-19.150000,82.806000,609.976000
1711149157.419000,-9.653000,79.139000,609.686000
1711149221.420000,-5.105000,75.319000,609.461000
1711149285.419000,-2.532000,71.440000,609.291000
1711149349.419000,-0.914000,67.533000,609.168000
1711149413.419000,0.168000,63.609000,609.098000
1711149477.419000,0.922000,59.676000,609.084000
1711149541.419000,1.461000,55.735000,609.113000
1711149605.519000,1.852000,51.784000,609.192000
1711149669.419000,2.136000,47.843000,609.307000
1711149733.419000,2.343000,43.892000,609.460000
1711149797.420000,2.490000,39.940000,609.648000
1711149861.419000,2.592000,35.986000,609.871000
1711149925.419000,2.658000,32.031000,610.116000
1711149989.419000,2.697000,28.075000,610.379000
1711150053.419000,2.714000,24.118000,610.671000
1711150117.419000,2.714000,20.161000,610.975000
1711150181.420000,2.701000,16.204000,611.284000
1711150245.420000,2.677000,12.247000,611.603000
1711150309.420000,2.647000,8.289000,611.931000
1711150373.419000,2.611000,4.332000,612.252000
1711150437.420000,2.573000,0.375000,612.577000
1711150501.420000,2.535000,-3.581000,612.898000
1711150565.420000,2.499000,-7.537000,613.218000
1711150629.420000,2.467000,-11.493000,613.531000
1711150693.420000,2.442000,-15.448000,613.843000
1711150757.420000,2.427000,-19.402000,614.145000
1711151013.420000,2.530000,-35.207000,615.326000
1711151077.420000,2.624000,-39.155000,615.619000
1711151141.420000,2.760000,-43.101000,615.908000
1711151205.419000,2.953000,-47.044000,616.200000
1711151269.420000,3.218000,-50.985000,616.501000
1711151333.419000,3.583000,-54.922000,616.807000
1711151462.520000,4.798000,-62.848000,617.448000
1711151526.420000,5.798000,-66.758000,617.783000
1711151590.419000,7.281000,-70.660000,618.127000
1711151654.420000,9.603000,-74.536000,618.483000
1711151718.420000,13.596000,-78.362000,618.845000
1711151782.419000,21.559000,-82.067000,619.229000
1711151846.419000,42.289000,-85.345000,619.613000
1711151910.419000,98.155000,-86.604000,620.012000
1711151974.419000,140.616000,-84.296000,620.416000
1711152038.419000,154.911000,-80.796000,620.821000
1711152102.419000,161.041000,-77.038000,621.234000
1711152166.419000,164.294000,-73.192000,621.644000
1711152230.419000,166.264000,-69.309000,622.051000
1711152294.419000,167.549000,-65.407000,622.450000
1711152358.419000,168.431000,-61.493000,622.839000
1711152422.419000,169.056000,-57.571000,623.214000
1711152486.419000,169.506000,-53.644000,623.568000
1711152550.419000,169.834000,-49.714000,623.894000
1711152614.419000,170.073000,-45.781000,624.190000
1711152678.419000,170.245000,-41.846000,624.454000
1711152742.419000,170.365000,-37.910000,624.676000
1711152806.420000,170.447000,-33.972000,624.857000
1711152870.419000,170.497000,-30.033000,624.990000
1711152934.419000,170.523000,-26.094000,625.076000
1711152998.419000,170.530000,-22.153000,625.110000
1711153062.419000,170.522000,-18.212000,625.081000
1711153126.419000,170.502000,-14.270000,625.000000
1711153190.419000,170.474000,-10.328000,624.856000
1711153254.419000,170.440000,-6.385000,624.653000
1711153382.419000,170.363000,1.502000,624.082000
1711153446.419000,170.325000,5.446000,623.704000
1711153510.419000,170.290000,9.390000,623.269000
1711153574.419000,170.260000,13.334000,622.793000
1711153638.419000,170.238000,17.279000,622.259000
1711153702.419000,170.227000,21.224000,621.696000
1711153766.419000,170.231000,25.168000,621.080000
1711153830.419000,170.252000,29.113000,620.426000
1711153894.419000,170.297000,33.058000,619.755000
1711153958.419000,170.370000,37.002000,619.054000
1711154022.419000,170.482000,40.945000,618.334000
1711154086.419000,170.642000,44.887000,617.612000
1711154150.419000,170.864000,48.828000,616.881000
1711154214.419000,171.171000,52.768000,616.153000
1711154278.419000,171.592000,56.704000,615.434000
1711154342.419000,172.174000,60.636000,614.735000
1711154470.419000,174.178000,68.477000,613.394000
1711154534.420000,175.972000,72.375000,612.775000
1711154598.420000,178.888000,76.240000,612.195000
1711154662.421000,-175.812000,80.035000,611.656000
1711154726.421000,-164.013000,83.627000,611.155000
1711154982.419000,-33.045000,78.523000,609.651000
1711155046.419000,-29.140000,74.931000,609.436000
1711155110.419000,-26.814000,71.292000,609.273000
1711155174.419000,-25.305000,67.629000,609.161000
1711155239.519000,-24.271000,63.951000,609.085000
1711155942.419000,-21.649000,19.515000,610.942000
1711156006.419000,-21.663000,15.805000,611.230000
1711156070.419000,-21.686000,12.095000,611.521000
1711156134.419000,-21.714000,8.385000,611.820000
1711156198.419000,-21.747000,4.675000,612.122000
1711157030.420000,-21.400000,-47.197000,616.115000
1711157094.420000,-21.151000,-50.891000,616.403000
1711157158.420000,-20.815000,-54.582000,616.689000
1711157803.220000,120.609000,-83.603000,620.483000
1711157862.420000,131.781000,-80.249000,620.876000
1711157926.419000,137.037000,-76.710000,621.267000
1711157990.419000,139.992000,-73.102000,621.652000
1711158054.419000,141.841000,-69.462000,622.046000
1711158118.419000,143.079000,-65.804000,622.430000
1711158822.420000,146.167000,-21.569000,625.196000
1711158886.419000,146.158000,-17.875000,625.173000
1711158950.420000,146.139000,-14.179000,625.096000
1711159014.420000,146.113000,-10.484000,624.973000
1711159078.419000,146.081000,-6.787000,624.785000
1711159783.420000,146.023000,37.584000,619.042000
1711159847.419000,146.132000,41.281000,618.357000
1711159911.419000,146.284000,44.977000,617.673000
1711159975.419000,146.492000,48.672000,616.981000
1711160039.420000,146.773000,52.364000,616.286000
1711160167.420000,147.822000,60.689000,614.767000
1711160231.420000,148.645000,64.615000,614.077000
1711160295.419000,149.837000,68.530000,613.413000
1711160359.420000,151.641000,72.427000,612.784000
1711160487.419000,159.934000,80.085000,611.642000
1711160551.420000,171.847000,83.673000,611.139000
1711160615.419000,-153.228000,86.383000,610.683000
1711160679.419000,-92.943000,85.824000,610.281000
1711160743.419000,-65.714000,82.236000,609.887000
1711160807.519000,-57.775000,78.768000,609.614000
1711160871.519000,-53.710000,75.180000,609.390000
1711160935.420000,-51.306000,71.543000,609.218000
1711160999.420000,-49.755000,67.881000,609.089000
1711161703.419000,-46.008000,23.479000,610.532000
1711161767.419000,-46.010000,19.769000,610.810000
1711161831.419000,-46.023000,16.059000,611.097000
1711161895.420000,-46.045000,12.349000,611.401000
1711161959.419000,-46.073000,8.639000,611.700000
1711162855.419000,-45.775000,-46.944000,616.143000
1711163624.419000,95.032000,-83.818000,620.623000
1711163688.419000,106.906000,-80.487000,621.014000
1711163752.419000,112.406000,-76.956000,621.416000
1711163816.419000,115.469000,-73.352000,621.816000
1711163880.419000,117.374000,-69.713000,622.208000
1711164584.419000,121.801000,-25.520000,625.339000
1711164648.419000,121.806000,-21.826000,625.358000
