DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	161.932	22.942	793.27	49.5791	1.47823
0	0	112.405	110.536	522.73	52.2731	1.00953
0	0	0.931095	149.453	524	74.8565	1.04002
0	0	92.5422	165.11	461.91	51.3234	0.898146
0	0	58.46	174.426	488.12	54.2357	0.969453
0	0	134.101	180.509	424.88	53.1098	0.826207
0	0	117.517	202.488	431.89	47.9873	0.852558
0	0	116.381	209.503	4432.04	90.4497	7.19708
0	0	32.4711	242.688	489.33	48.9327	0.955231
0	1	156.756	58.6689	597.83	59.7833	1.17075
0	1	14.0738	82.5943	508.63	56.5145	0.991614
0	1	104.061	99.3138	609.62	55.4201	1.17995
0	1	137.785	100.465	581.58	52.8706	1.12762
0	1	157.92	131.588	427.66	53.4573	0.835561
0	1	244.885	144.321	614.75	51.2292	1.1524
0	1	156.875	167.434	1133.74	62.9855	1.98109
0	1	85.5537	181.502	448.74	49.8601	0.89156
0	1	170.222	229.77	691.99	49.4278	1.29821
0	2	154.654	87.7292	795.4	53.027	1.50832
0	2	119.57	120.74	608.03	60.803	1.18999
0	2	128.544	126.486	443.79	49.3099	0.880628
0	2	201.918	150.272	482.02	60.2525	0.947037
0	2	26.3884	158.568	662.5	73.6109	1.30772
0	2	77.5151	164.911	527.2	52.7201	1.02806
0	2	151.981	177.42	603.97	54.9063	1.1728
0	2	92.8756	191.471	585.87	53.2607	1.13864
0	2	138.343	238.65	470.64	52.2938	0.927114
0	2	176.5	247.5	45.11	45.1132	0.0902264
0	2	92.7689	249.421	551.26	55.1255	1.07573
0	3	177.666	39.5722	472.19	52.4651	0.931593
0	3	212.457	97.2518	518.42	51.8416	1.01276
0	3	211.166	129.434	765.28	76.5278	1.4773
0	3	221.927	159.283	644.27	58.57	1.24754
0	3	132.57	166.526	459.14	51.0152	0.909851
0	3	74.6542	200.789	416.61	52.0769	0.820638
0	3	90.8316	230.507	366.88	40.7641	0.710833
0	4	119.389	71.4869	418.19	46.4657	0.830058
0	4	109.599	126.078	470.83	58.8542	0.921184
0	4	139.902	155.52	475.88	59.4855	0.926749
0	4	170.414	162.555	547.81	60.8673	1.08498
0	4	75.3954	165.827	571.83	57.183	1.11697
0	4	178.04	165.793	686.38	57.1983	1.32843
0	4	220.642	186.677	480.67	53.4083	0.946833
0	4	117.337	198.927	688.63	57.386	1.33034
0	4	137.644	213.493	436.25	48.472	0.866376
0	5	60.4601	16.4778	496.88	55.2086	0.984275
0	5	154.713	55.2049	753.66	62.8049	1.46649
0	5	166.539	80.5291	448.9	49.878	0.886697
