Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365077	25.0	6	0.121	1711148453.419	37.4	224.2	23.2	26.2	157.3	6.292	0.023	-164.051	56.651	615.395	2024	3	22	23	0	53
365080	25.0	174	3.515	1711148517.42	37.7	6557.7	24.9	26.4	4602.2	184.088	0.663	-163.471	60.583	614.697	2024	3	22	23	1	57
365083	16.456	142	4.358	1711148581.419	36.7	5213.3	24.9	25.8	3658.7	222.332	0.8	-162.656	64.509	614.021	2024	3	22	23	3	1
365086	25.0	22	0.444	1711148645.419	47.4	1041.8	31.6	33.2	731.1	29.244	0.105	-161.476	68.424	613.37	2024	3	22	23	4	5
365089	25.0	7	0.141	1711148709.419	31.9	223.4	19.0	22.4	156.8	6.272	0.023	-159.693	72.323	612.75	2024	3	22	23	5	9
365092	25.0	3	0.061	1711148773.419	96.0	288.2	39.2	67.4	202.3	8.092	0.029	-156.8	76.189	612.175	2024	3	22	23	6	13
365095	25.0	4	0.081	1711148837.419	48.9	195.7	20.2	34.3	137.3	5.492	0.02	-151.53	79.984	611.636	2024	3	22	23	7	17
365098	25.0	2	0.04	1711148901.419	125.0	250.1	43.8	87.8	175.5	7.02	0.025	-139.937	83.582	611.144	2024	3	22	23	8	21
365101	25.0	4	0.081	1711148965.419	64.8	259.1	24.3	45.4	181.8	7.272	0.026	-105.963	86.334	610.703	2024	3	22	23	9	25
365104	25.0	1	0.02	1711149029.419	32.9	32.9	32.9	23.1	23.1	0.924	0.003	-45.446	85.885	610.313	2024	3	22	23	10	29
365107	25.0	4	0.081	1711149093.419	64.3	257.3	37.2	45.2	180.6	7.224	0.026	-19.15	82.806	609.976	2024	3	22	23	11	33
365110	25.0	2	0.04	1711149157.419	8.6	17.1	8.6	6.0	12.0	0.48	0.002	-9.653	79.139	609.686	2024	3	22	23	12	37
365113	25.0	3	0.061	1711149221.42	28.6	85.8	24.7	20.1	60.2	2.408	0.009	-5.105	75.319	609.461	2024	3	22	23	13	41
365116	25.0	6	0.121	1711149285.419	27.6	165.8	14.0	19.4	116.4	4.656	0.017	-2.532	71.44	609.291	2024	3	22	23	14	45
365119	25.0	2	0.04	1711149349.419	61.0	122.0	29.8	42.8	85.6	3.424	0.012	-0.914	67.533	609.168	2024	3	22	23	15	49
365122	25.0	5	0.101	1711149413.419	29.9	149.5	20.0	21.0	104.9	4.196	0.015	0.168	63.609	609.098	2024	3	22	23	16	53
365125	25.0	6	0.121	1711149477.419	55.3	331.6	22.7	38.8	232.7	9.308	0.034	0.922	59.676	609.084	2024	3	22	23	17	57
365128	25.0	3	0.061	1711149541.419	28.6	85.9	16.4	20.1	60.3	2.412	0.009	1.461	55.735	609.113	2024	3	22	23	19	1
365131	25.0	1	0.02	1711149605.519	25.7	25.7	25.7	18.0	18.0	0.72	0.003	1.852	51.784	609.192	2024	3	22	23	20	5
365134	25.0	1	0.02	1711149669.419	71.9	71.9	24.0	50.5	50.5	2.02	0.007	2.136	47.843	609.307	2024	3	22	23	21	9
365137	1.0	1	0.505	1711149733.419	153.6	153.6	76.8	107.8	107.8	107.8	0.388	2.343	43.892	609.46	2024	3	22	23	22	13
365140	25.0	1	0.02	1711149797.42	11.2	11.2	5.6	7.9	7.9	0.316	0.001	2.49	39.94	609.648	2024	3	22	23	23	17
365143	25.0	1	0.02	1711149861.419	8.2	8.2	8.2	5.8	5.8	0.232	0.001	2.592	35.986	609.871	2024	3	22	23	24	21
365146	25.0	1	0.02	1711149925.419	47.5	47.5	23.7	33.3	33.3	1.332	0.005	2.658	32.031	610.116	2024	3	22	23	25	25
365149	25.0	2	0.04	1711149989.419	81.3	162.7	27.1	57.1	114.2	4.568	0.016	2.697	28.075	610.379	2024	3	22	23	26	29
365152	25.0	4	0.081	1711150053.419	24.0	96.0	16.3	16.8	67.4	2.696	0.01	2.714	24.118	610.671	2024	3	22	23	27	33
365155	25.0	2	0.04	1711150117.419	12.9	25.7	12.9	9.0	18.0	0.72	0.003	2.714	20.161	610.975	2024	3	22	23	28	37
365158	25.0	2	0.04	1711150181.42	39.4	78.7	23.1	27.6	55.2	2.208	0.008	2.701	16.204	611.284	2024	3	22	23	29	41
365161	25.0	3	0.061	1711150245.42	41.1	123.2	33.5	28.8	86.5	3.46	0.012	2.677	12.247	611.603	2024	3	22	23	30	45
365167	25.0	1	0.02	1711150373.419	48.0	48.0	16.0	33.7	33.7	1.348	0.005	2.611	4.332	612.252	2024	3	22	23	32	53
365170	25.0	4	0.081	1711150437.42	20.6	82.4	15.0	14.4	57.8	2.312	0.008	2.573	0.375	612.577	2024	3	22	23	33	57
