Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365077	25.0	17	0.343	1711148453.419	314.7	5349.3	26.7	220.8	3754.2	150.168	0.541	-164.051	56.651	615.395	2024	3	22	23	0	53
365080	25.0	203	4.101	1711148517.42	80.9	16430.6	25.9	56.8	11531.1	461.244	1.66	-163.471	60.583	614.697	2024	3	22	23	1	57
365083	16.456	153	4.696	1711148581.419	65.2	9979.2	25.6	45.8	7003.5	425.589	1.532	-162.656	64.509	614.021	2024	3	22	23	3	1
365086	25.0	47	0.949	1711148645.419	303.6	14267.9	27.4	213.0	10013.3	400.532	1.442	-161.476	68.424	613.37	2024	3	22	23	4	5
365089	25.0	23	0.465	1711148709.419	1661.5	38214.0	27.6	1166.0	26818.8	1072.752	3.862	-159.693	72.323	612.75	2024	3	22	23	5	9
365092	25.0	18	0.364	1711148773.419	578.2	10407.3	30.5	405.8	7303.9	292.156	1.052	-156.8	76.189	612.175	2024	3	22	23	6	13
365095	25.0	22	0.444	1711148837.419	698.6	15369.7	29.1	490.3	10786.5	431.46	1.553	-151.53	79.984	611.636	2024	3	22	23	7	17
365098	25.0	15	0.303	1711148901.419	718.2	10773.6	30.7	504.1	7561.0	302.44	1.089	-139.937	83.582	611.144	2024	3	22	23	8	21
365101	25.0	18	0.364	1711148965.419	574.7	10344.5	31.2	403.3	7259.8	290.392	1.045	-105.963	86.334	610.703	2024	3	22	23	9	25
365104	25.0	30	0.606	1711149029.419	482.1	14463.1	29.3	338.3	10150.3	406.012	1.462	-45.446	85.885	610.313	2024	3	22	23	10	29
365107	25.0	21	0.424	1711149093.419	468.1	9829.5	28.0	328.5	6898.4	275.936	0.993	-19.15	82.806	609.976	2024	3	22	23	11	33
365110	25.0	10	0.202	1711149157.419	270.6	2706.2	25.3	189.9	1899.2	75.968	0.273	-9.653	79.139	609.686	2024	3	22	23	12	37
365113	25.0	17	0.343	1711149221.42	282.7	4805.7	24.1	198.4	3372.7	134.908	0.486	-5.105	75.319	609.461	2024	3	22	23	13	41
365116	25.0	21	0.424	1711149285.419	765.7	16079.2	27.1	537.4	11284.5	451.38	1.625	-2.532	71.44	609.291	2024	3	22	23	14	45
365119	25.0	9	0.182	1711149349.419	686.7	6180.4	32.0	481.9	4337.4	173.496	0.625	-0.914	67.533	609.168	2024	3	22	23	15	49
365122	25.0	12	0.242	1711149413.419	530.9	6371.4	25.6	372.6	4471.5	178.86	0.644	0.168	63.609	609.098	2024	3	22	23	16	53
365125	25.0	27	0.545	1711149477.419	253.6	6847.5	26.9	178.0	4805.6	192.224	0.692	0.922	59.676	609.084	2024	3	22	23	17	57
365128	25.0	18	0.364	1711149541.419	638.3	11490.0	24.2	448.0	8063.7	322.548	1.161	1.461	55.735	609.113	2024	3	22	23	19	1
365131	25.0	27	0.545	1711149605.519	405.8	10957.3	30.9	284.8	7689.9	307.596	1.107	1.852	51.784	609.192	2024	3	22	23	20	5
365134	25.0	12	0.242	1711149669.419	226.4	2716.5	30.3	158.9	1906.5	76.26	0.275	2.136	47.843	609.307	2024	3	22	23	21	9
365137	1.0	    1	0.505	1711149733.419	153.6	153.6	76.8	107.8	107.8	107.8	0.388	2.343	43.892	609.46	2024	3	22	23	22	13
365140	25.0	8	0.162	1711149797.42	439.5	3516.3	28.0	308.5	2467.8	98.712	0.355	2.49	39.94	609.648	2024	3	22	23	23	17
365143	25.0	6	0.121	1711149861.419	238.1	1428.7	24.0	167.1	1002.7	40.108	0.144	2.592	35.986	609.871	2024	3	22	23	24	21
365146	25.0	9	0.182	1711149925.419	304.6	2741.8	24.0	213.8	1924.2	76.968	0.277	2.658	32.031	610.116	2024	3	22	23	25	25
365149	25.0	5	0.101	1711149989.419	974.7	4873.7	34.3	684.1	3420.4	136.816	0.493	2.697	28.075	610.379	2024	3	22	23	26	29
365152	25.0	8	0.162	1711150053.419	138.0	1103.7	20.6	96.8	774.6	30.984	0.112	2.714	24.118	610.671	2024	3	22	23	27	33
365155	25.0	7	0.141	1711150117.419	106.2	743.5	17.1	74.5	521.8	20.872	0.075	2.714	20.161	610.975	2024	3	22	23	28	37
365158	25.0	2	0.04	1711150181.42	39.4	78.7	23.1	27.6	55.2	2.208	0.008	2.701	16.204	611.284	2024	3	22	23	29	41
365161	25.0	6	0.121	1711150245.42	251.7	1510.0	26.8	176.6	1059.7	42.388	0.153	2.677	12.247	611.603	2024	3	22	23	30	45
365164	8.517	3	0.178	1711150309.42	204.5	613.4	30.4	143.5	430.5	50.546	0.182	2.647	8.289	611.931	2024	3	22	23	31	49
365167	25.0	5	0.101	1711150373.419	272.5	1362.4	23.2	191.2	956.1	38.244	0.138	2.611	4.332	612.252	2024	3	22	23	32	53
365170	25.0	6	0.121	1711150437.42	115.9	695.4	18.5	81.3	488.0	19.52	0.07	2.573	0.375	612.577	2024	3	22	23	33	57
365173	25.0	10	0.202	1711150501.42	732.4	7324.2	30.8	514.0	5140.2	205.608	0.74	2.535	-3.581	612.898	2024	3	22	23	35	1
365176	25.0	6	0.121	1711150565.42	261.1	1566.7	22.5	183.2	1099.5	43.98	0.158	2.499	-7.537	613.218	2024	3	22	23	36	5
365179	25.0	10	0.202	1711150629.42	274.8	2748.1	24.8	192.9	1928.6	77.144	0.278	2.467	-11.493	613.531	2024	3	22	23	37	9
365182	25.0	19	0.384	1711150693.42	1081.6	20550.8	28.1	759.1	14422.7	576.908	2.077	2.442	-15.448	613.843	2024	3	22	23	38	13
365185	25.0	25	0.505	1711150757.42	776.1	19403.1	31.0	544.7	13617.2	544.688	1.961	2.427	-19.402	614.145	2024	3	22	23	39	17
365197	2.569	54	10.616	1711151013.42	1990.9	107509.3	52.2	1397.2	75450.6	29369.638	105.731	2.53	-35.207	615.326	2024	3	22	23	43	33
365200	6.745	54	4.043	1711151077.42	1827.4	98677.2	54.0	1282.4	69252.2	10267.191	36.962	2.624	-39.155	615.619	2024	3	22	23	44	37
365203	20.014	66	1.666	1711151141.42	683.0	45080.9	34.1	479.4	31638.0	1580.793	5.691	2.76	-43.101	615.908	2024	3	22	23	45	41
