Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
368646	4.486	42	4.7285156513868065	1711248198.4199998	2395.2	100598.8	73.4	1681.0	70600.8	15738.029	56.657	-60.71	76.829	609.007
368655	4.976	42	4.262886095683523	1711248391.4190001	3574.0	150108.2	75.7	2508.3	105346.8	21170.981	76.216	-54.484	65.609	608.522
368667	23.11	4	0.08741679014288276	1711248647.419	2368.9	9475.4	61.6	1662.5	6649.9	287.75	1.036	-52.149	49.851	608.58
368673	25.0	4	0.08080808080808081	1711248775.42	739.2	2956.6	52.6	518.8	2075.0	83.0	0.299	-51.73	41.949	608.876
368894	25.0	2	0.04040404040404041	1711253256.419	1965.5	3930.9	75.3	1379.4	2758.7	110.348	0.397	117.268	55.216	615.512
368897	25.0	1	0.020202020202020204	1711253320.419	5045.4	5045.4	67.3	3540.9	3540.9	141.636	0.51	117.705	58.628	614.855
368903	5.718	27	2.384813507583707	1711253448.419	3346.8	90364.8	72.8	2348.8	63418.5	11091.028	39.928	119.37	66.479	613.407
368911	3.954	27	3.4487515519381984	1711253640.419	4768.0	128736.7	79.4	3346.2	90348.1	22849.798	82.259	126.906	78.111	611.486
368917	5.412	41	3.8261401897765537	1711253768.419	3362.9	137878.9	73.0	2360.1	96764.2	17879.564	64.366	153.842	85.173	610.422
368920	3.242	29	4.51772506059983	1711253832.419	2401.5	69644.7	72.7	1685.4	48877.0	15076.188	54.274	-152.066	86.642	609.972
369472	25.0	20	0.40404040404040403	1711265355.4190001	2263.2	45264.8	68.2	1588.4	31767.1	1270.684	4.574	87.761	82.432	610.891
369499	6.447	41	3.211892462706795	1711265803.419	3945.5	161764.5	76.1	2769.0	113527.2	17609.307	63.394	-128.601	68.783	608.697
369502	4.648	23	2.499174185921174	1711265867.4190001	2965.0	68195.0	74.3	2080.9	47859.6	10296.816	37.069	-127.44	65.108	608.614
369505	4.237	24	2.860800595046524	1711265931.419	2849.3	68383.3	71.5	1999.7	47991.8	11326.835	40.777	-126.623	61.423	608.579
369587	25.0	3	0.06060606060606061	1711267724.4189994	2780.1	8340.3	62.0	1951.1	5853.3	234.132	0.843	-124.112	-49.734	616.635
369593	25.0	1	0.020202020202020204	1711267852.419	686.4	686.4	62.4	481.7	481.7	19.268	0.069	-123.393	-57.114	617.268
369596	25.0	2	0.04040404040404041	1711267916.419	1115.5	2231.1	59.3	782.9	1565.8	62.632	0.225	-122.835	-60.797	617.601
369599	25.0	2	0.04040404040404041	1711267980.419	494.9	989.8	58.6	347.3	694.6	27.784	0.1	-122.065	-64.474	617.932
369605	4.5	34	3.8159371492704826	1711268108.419	2933.9	99752.5	74.4	2059.0	70006.9	15557.089	56.006	-118.522	-73.266	618.765
369608	3.014	19	3.1837954863834095	1711268172.4200003	2811.4	53416.8	76.3	1973.1	37488.2	12438.023	44.777	-115.74	-76.64	619.102
369635	5.357	32	3.0169154679141608	1711268748.42	3280.1	104963.4	73.1	2302.0	73663.9	13750.961	49.503	39.855	-66.96	622.815
369641	9.717	36	1.8711349368959742	1711268876.4189994	4137.1	148936.1	75.3	2903.4	104524.2	10756.839	38.725	41.513	-59.622	623.541
369644	9.506	16	0.8500744877769915	1711268940.419	2174.4	34790.3	70.6	1526.0	24416.0	2568.483	9.247	42.018	-55.944	623.866
369689	25.0	1	0.020202020202020204	1711269900.419	707.7	707.7	50.5	496.7	496.7	19.868	0.072	43.108	3.13	624.017
369731	25.0	2	0.04040404040404041	1711270796.419	783.9	1567.8	64.8	550.2	1100.3	44.012	0.158	44.608	58.576	614.68
369758	25.0	1	0.020202020202020204	1711277868.42	1195.5	1195.5	66.4	839.0	839.0	33.56	0.121	-173.598	43.432	608.818
