Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
368017	25.0	9	0.18181818181818182	1711235203.419	211.7	1905.1	17.2	148.6	1337.0	53.48	0.193	-170.836	19.506	621.944
368020	25.0	4	0.08080808080808081	1711235267.419	62.3	249.3	20.4	43.8	175.0	7.0	0.025	-170.84	22.86	621.416
368646	4.486	48	5.404017887299207	1711248198.42	2229.4	107013.2	67.3	1564.6	75102.5	16741.529	60.27	-60.71	76.829	609.007
368655	4.976	51	5.176361687615707	1711248391.4190001	2954.4	150673.8	66.2	2073.4	105743.7	21250.744	76.503	-54.484	65.609	608.522
368667	23.11	20	0.43708395071441375	1711248647.4189994	592.9	11857.2	37.5	416.1	8321.4	360.078	1.296	-52.149	49.851	608.58
368670	25.0	17	0.3434343434343434	1711248711.42	487.4	8286.6	22.0	342.1	5815.6	232.624	0.837	-51.905	45.901	608.708
368673	25.0	14	0.2828282828282828	1711248775.4199998	442.7	6197.9	35.0	310.7	4349.7	173.988	0.626	-51.73	41.949	608.876
368894	25.0	41	0.8282828282828283	1711253256.419	233.5	9574.2	26.3	163.9	6719.2	268.768	0.968	117.268	55.216	615.512
368897	25.0	12	0.24242424242424243	1711253320.4190001	591.5	7098.3	38.0	415.1	4981.6	199.264	0.717	117.705	58.628	614.855
368900	25.0	13	0.26262626262626265	1711253384.42	170.8	2219.9	31.0	119.8	1557.9	62.316	0.224	118.392	62.557	614.119
368903	5.718	50	4.416321310340198	1711253448.4190001	1859.8	92991.1	52.1	1305.2	65261.7	11413.379	41.088	119.37	66.479	613.407
368911	3.954	36	4.598335402584264	1711253640.419	3610.5	129976.5	64.5	2533.8	91218.2	23069.853	83.051	126.906	78.111	611.486
368917	5.412	57	5.319268068713745	1711253768.4190001	2484.3	141607.0	59.6	1743.5	99380.6	18363.008	66.107	153.842	85.173	610.422
368920	3.242	35	5.452426797275656	1711253832.419	2017.7	70620.5	65.5	1416.1	49561.9	15287.446	55.035	-152.066	86.642	609.972
369299	25.0	8	0.16161616161616163	1711261770.419	232.0	1856.3	24.2	162.8	1302.8	52.112	0.188	-100.182	-41.268	615.873
369472	25.0	25	0.5050505050505051	1711265355.419	1834.2	45854.2	58.1	1287.2	32180.7	1287.228	4.634	87.761	82.432	610.891
