Energy(MeV) Total mission average flux(/cm2/s)	Total mission fluence(/cm2)	Average flux(/cm2/s) 	Segment fluence(/cm2)
1.50 	5.2261E+02 	9.0308E+07 	5.2261E+02 	9.0308E+07
2.00 	4.3971E+02 	7.5982E+07 	4.3971E+02 	7.5982E+07
3.00 	3.2615E+02 	5.6359E+07 	3.2615E+02 	5.6359E+07
4.00 	2.8470E+02 	4.9197E+07 	2.8470E+02 	4.9197E+07
5.00 	2.6318E+02 	4.5478E+07 	2.6318E+02 	4.5478E+07
6.00 	2.4590E+02 	4.2491E+07 	2.4590E+02 	4.2491E+07
7.00 	2.2999E+02 	3.9743E+07 	2.2999E+02 	3.9743E+07
10.00 	1.9516E+02 	3.3724E+07 	1.9516E+02 	3.3724E+07
15.00 	1.6045E+02 	2.7725E+07 	1.6045E+02 	2.7725E+07
20.00 	1.4386E+02 	2.4859E+07 	1.4386E+02 	2.4859E+07
30.00 	1.1772E+02 	2.0342E+07 	1.1772E+02 	2.0342E+07
40.00 	9.1062E+01 	1.5735E+07 	9.1062E+01 	1.5735E+07
50.00 	7.5615E+01 	1.3066E+07 	7.5615E+01 	1.3066E+07
60.00 	5.5895E+01 	9.6586E+06 	5.5895E+01 	9.6586E+06
70.00 	3.3828E+01 	5.8454E+06 	3.3828E+01 	5.8454E+06
