DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	124.588	3.45497	1068.03	56.2122	2.05506
0	0	234.052	57.5369	1186.77	69.8099	2.28113
0	0	111.387	70.0567	1210.16	71.1861	2.3099
0	0	0.5	74.3203	50.17	25.085	0.0997385
0	0	172.547	81.6822	1274.02	60.6678	2.45498
0	0	156.658	86.6109	1160.19	61.0626	2.21888
0	0	245.157	154.627	1338.53	70.4488	2.55429
0	0	27.4228	166.58	1210.15	57.626	2.31388
0	0	193.741	187.477	1153.39	60.7047	2.22044
0	1	35.5297	14.6148	1090.16	54.5082	2.08095
0	1	95.9318	21.5281	1220.12	67.7843	2.26839
0	1	198.548	25.1331	1087.51	67.9692	2.10042
0	1	92.8447	29.9653	2428.5	93.4039	4.41196
0	1	190.875	42.6748	1299.67	72.2036	2.49407
0	1	129.469	75.6276	1160.21	55.248	2.23326
0	1	127.679	92.7215	1291.95	64.5973	2.46677
0	1	93.456	137.454	1074.8	51.1809	2.06521
0	1	120.085	144.502	1226.48	68.1378	2.363
0	1	199.414	186.338	1196.94	62.997	2.28959
0	1	179.758	198.016	1424.79	71.2393	2.67644
0	1	185.644	201.473	1088.66	57.2981	2.10335
0	1	63.0577	228.424	1259.73	69.9848	2.42669
0	1	206.569	237.205	1124.15	62.4529	2.15523
0	2	139.159	9.31344	1240.46	68.9146	2.37361
0	2	154.505	47.2645	1235.57	58.8368	2.38263
0	2	219.5	72.5	13.38	13.3823	0.0267646
0	2	62.4199	92.0485	1311.13	69.0067	2.52749
0	2	1.82265	103.068	1405.21	41.3296	2.43972
0	2	178.183	117.542	1150.46	67.6742	2.2111
0	2	223.932	121.74	1342.48	70.6568	2.57598
0	2	190.28	124.283	1269.43	70.5238	2.42599
0	2	37.6622	128.193	1260.6	70.0331	2.41468
0	2	202.09	129.805	1461.28	76.9093	2.83259
0	2	235.196	130.621	1233.72	68.5397	2.36776
0	2	122.462	133.283	1263.86	60.184	2.431
0	2	48.3761	140.249	1326.95	66.3474	2.54245
0	2	175.361	164.945	1361.71	71.6687	2.57649
0	2	125.539	191.955	1216.69	76.0433	2.38939
0	2	229.316	197.3	1222.17	64.3249	2.34784
0	2	25.1768	225.233	1378.5	68.925	2.64997
0	2	158.944	235.995	1635.02	68.1259	3.12383
0	3	179.192	16.3769	1210.6	71.212	2.32922
0	3	97.0109	21.5767	1056.38	75.4554	2.07191
0	3	157.502	24.0066	1258.23	69.9017	2.33951
0	3	247.633	25.365	1183.47	65.7485	2.2526
0	3	149.561	31.2597	1335.24	63.5828	2.56057
0	3	208.189	35.4833	1264.58	70.2545	2.407
0	3	86.6841	48.0204	1334.72	74.1508	2.58331
0	3	19.0945	55.1753	1253.69	78.3558	2.41142
0	3	238.985	65.4545	2683.62	74.5449	4.26418
0	3	77.0575	70.5398	1125.92	70.3701	2.17861
0	3	247.639	75.1991	1248.71	69.3728	2.39852
0	3	115.363	102.606	1285.05	61.1931	2.46273
0	3	218.313	107.127	1307.95	68.8392	2.51505
0	3	9.5678	112.738	1160.39	64.4663	2.23002
0	3	65.2648	128.306	1315.09	69.2152	2.51498
0	3	228.019	216.94	1509.75	83.8748	2.91742
0	3	251.54	224.351	1139.66	56.9832	2.17709
0	3	1.87855	253.994	1310.72	39.7188	2.32381
0	4	15.2043	51.7255	1213.12	71.36	2.34246
0	4	168.395	81.2913	1317.61	62.7435	2.5389
0	4	112.091	99.5637	1292.55	71.8083	2.48754
0	4	163.794	109.407	1228.28	64.6463	2.35343
0	4	243.448	111.332	1057.12	58.7287	2.01309
0	4	192.275	119.93	1442.22	68.6772	2.70382
0	4	39.4035	121.729	1232.2	64.8528	2.36192
0	4	136.118	133.559	1260.91	70.0506	2.42987
0	4	185.495	140.3	1191.28	59.564	2.28163
0	4	189.73	168.001	1377.81	72.5161	2.66602
0	4	171.01	203.138	1477.33	77.7541	2.83025
0	4	182.576	205.863	1201.43	66.7459	2.31218
0	4	73.7083	207.502	1172.75	58.6376	2.25283
0	4	127.629	212.81	1208.61	71.0949	2.32457
0	5	144.022	17.5088	1171.07	73.1921	2.29321
0	5	53.7175	54.4935	1161.87	61.1509	2.24175
0	5	46.0956	73.4837	615.07	205.024	1.22535
0	5	30.6456	78.8938	1418.89	70.9443	2.65916
0	5	35.5	95.5	223.4	223.404	0.446808
0	5	250.409	107.329	1136.54	56.827	2.17039
0	5	206.886	115.513	1237.43	65.1279	2.35287
0	5	106.382	127.909	1210.92	71.2305	2.32807
0	5	236.945	152.629	1306.47	72.5816	2.51664
0	5	177.388	237.185	1321.66	66.0832	2.52815
0	5	184.512	249.475	350.87	116.956	0.698901
0	6	253.5	5.5	6.15	6.14537	0.0122907
0	6	225.702	18.4884	1119.12	58.9012	2.16049
0	6	158.76	23.2572	1317.87	69.3618	2.52744
0	6	1.18019	27.5944	1227.88	43.853	2.029
0	6	123.5	44.7517	36.08	18.039	0.0717234
0	6	122.608	57.4284	1139.31	54.2528	2.17588
0	6	101.727	69.2673	1304.71	68.6687	2.50278
0	6	244.819	83.403	1218.66	71.6859	2.33981
0	6	21.6867	88.1896	1197.87	79.8581	2.30141
0	6	7.79691	90.701	1264.51	66.553	2.42346
0	6	134.604	96.3136	1112.95	58.5761	2.12035
0	6	150.464	105.613	1035.67	54.5089	1.98786
0	6	67.3854	176.189	1385.49	72.9206	2.64376
0	6	175.659	206.624	1092.74	60.7079	2.0804
0	6	228.288	243.323	1203.3	63.3315	2.30775
0	7	187.602	41.8925	1206.1	70.9468	2.32266
0	7	157.499	100.509	1012.29	59.5465	1.94644
0	7	22.507	113.595	1168.02	55.6199	2.25247
0	7	91.4602	117.621	1065.92	59.2175	2.03207
0	7	52.6459	143.284	1225.48	64.499	2.3654
0	7	248.029	146.544	1316.72	69.3012	2.46946
0	7	122.247	152.463	1256.23	69.7906	2.41377
0	7	80.7803	170.664	1345.38	64.0659	2.53693
0	7	196.473	183.437	1082.76	51.5599	2.06883
0	7	188.485	209.832	1143.69	67.276	2.19979
0	7	20.3379	247.872	1329.85	63.3261	2.54706
0	7	158.473	251.416	1044.81	49.7526	2.00689
0	8	93.2875	2.02294	1332.06	74.0036	2.55428
0	8	225.441	8.39877	1098.01	52.2864	2.10743
0	8	214.563	33.0897	623.75	16.858	0.776515
0	8	225.811	29.9964	1410.64	88.165	2.78333
0	8	216.664	80.1863	1363.64	64.9354	2.6029
0	8	101.529	101.591	1129.47	53.7841	2.16536
0	8	156.375	118.832	1345.12	70.7957	2.56649
0	8	62.002	139.891	1410.9	82.9942	2.70201
0	8	100.492	157.898	1254.87	69.7151	2.41705
0	8	115.63	243.67	1247.9	59.4239	2.41693
0	9	25.5163	3.15377	1163.17	72.6979	2.24798
