DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	12.3646	4.87797	2599.38	60.4508	3.53456
0	0	101.275	22.6454	3432.86	64.771	3.81586
0	0	210.71	25.7846	3309.32	57.0572	3.51438
0	0	245.237	28.9499	3332.62	61.7151	3.7082
0	0	84.6334	33.1928	3509.91	62.6769	3.83609
0	0	226.851	34.5179	3721.44	63.0753	3.70631
0	0	128.447	57.1924	3703.82	64.9792	3.92976
0	0	68.8978	93.6977	3531.95	60.8956	3.68278
0	0	47.4495	104.217	3657.99	64.1752	3.88644
0	0	226.741	144.664	3613.72	57.3606	3.61205
0	0	35.1943	167.849	3375.12	60.27	3.51965
0	0	191.6	184.23	4011.56	65.7634	4.27199
0	0	142.952	239.911	4454.93	69.6083	4.90997
0	1	198.536	8.27472	3607.38	60.123	3.77276
0	1	224.965	2.8586	1569.59	58.1329	2.65003
0	1	225.738	24.0307	3520.15	60.6923	3.67496
0	1	151.14	45.017	3401.76	59.6801	3.60696
0	1	251.922	56.7808	3471.3	59.8499	3.45133
0	1	202.112	65.3567	3542.12	62.1424	3.69045
0	1	52.9536	86.3704	3563.76	59.396	3.5491
0	1	13.0249	88.9256	3666.2	60.1016	3.90527
0	1	211.652	104.689	3504.87	62.5869	3.65136
0	1	68.5412	124.019	3118.6	61.149	3.64007
0	1	129.382	130.023	3731.56	60.1864	3.90018
0	1	220.113	131.481	3505	59.4068	3.76167
0	1	85.3183	143.946	3582.17	63.9673	3.9226
0	1	224.07	156.804	6996.61	64.7834	4.21774
0	1	247.524	171.241	3652.91	58.9179	3.64413
0	1	55.5335	173.932	3853.56	61.1676	3.85145
0	1	13.941	178.121	3660.81	60.0132	3.82606
0	1	215.052	183.914	4080.23	63.7536	4.27055
0	1	120.553	193.945	4568.7	63.4541	4.31855
0	1	133.282	200.055	4410.63	66.8277	4.28596
0	1	198.187	216.714	8977.54	81.614	7.65143
0	1	38.0324	215.072	4410.87	66.8313	4.62954
0	1	248.779	223.645	4137.08	66.7271	4.63884
0	1	167.605	241.43	5813.08	68.3891	5.52532
0	1	14.4967	254.637	772.82	64.4017	1.50784
0	2	154.952	7.84493	3755.97	63.6606	3.92152
0	2	139.341	162.259	3719.11	59.9857	3.81842
0	2	195.255	199.802	3729.63	67.8114	4.39278
0	2	208.408	240.598	5343.34	68.5043	5.29465
0	2	132.14	244.533	4946.4	65.952	4.98882
0	3	70.472	2.85524	1552.4	59.7078	2.62006
0	3	38.2355	37.7066	3428.13	60.1426	3.68431
0	3	88.6701	44.6401	3529.12	60.847	3.61043
