0,1,2,3,4,5,6,7
e,---,-2013.00,,,,,
.,e,---,05.,2024,,,
e,1,.,1.008,,,,
e,e,2.3212E+00,3,4.9770E+22,3,,
14,100.00,100.00,,,,,
e,0.00,,,,,,
e,2,,,,,,
999.999,e,1.060E-01,1.021E-02,177,167,130,
1.10,e,1.111E-01,1.005E-02,193,177,138,
1.20,e,1.161E-01,9.880E-03,208,186,145,
1.30,e,1.208E-01,9.717E-03,224,195,153,
1.40,e,1.254E-01,9.558E-03,239,203,160,
1.50,e,1.298E-01,9.402E-03,255,212,167,
1.60,e,1.340E-01,9.251E-03,270,219,174,
1.70,e,1.382E-01,9.104E-03,285,227,181,
1.80,e,1.422E-01,8.962E-03,300,234,187,
2.00,e,1.499E-01,8.690E-03,330,248,199,
2.25,e,1.582E-01,8.374E-03,366,264,214,
2.50,e,1.662E-01,8.083E-03,403,280,228,
2.75,e,1.741E-01,7.813E-03,439,294,242,
3.00,e,1.816E-01,7.563E-03,474,307,254,
3.25,e,1.889E-01,7.331E-03,509,320,266,
3.50,e,1.958E-01,7.115E-03,544,332,278,
3.75,e,2.025E-01,6.914E-03,578,343,289,
4.00,e,2.088E-01,6.725E-03,612,354,300,
4.50,e,2.206E-01,6.382E-03,678,373,321,
5.00,e,2.314E-01,6.078E-03,743,392,340,
5.50,e,2.412E-01,5.806E-03,807,408,358,
6.00,e,2.503E-01,5.561E-03,870,424,375,
6.50,e,2.589E-01,5.340E-03,932,439,391,
7.00,e,2.671E-01,5.138E-03,994,452,407,
8.00,e,2.829E-01,4.784E-03,1113,477,436,
9.00,e,2.981E-01,4.482E-03,1229,499,463,
10.00,e,3.131E-01,4.222E-03,1342,519,488,
11.00,e,3.277E-01,3.995E-03,1452,538,511,
12.00,e,3.419E-01,3.794E-03,1558,554,532,
13.00,e,3.556E-01,3.615E-03,1662,569,552,
14.00,e,3.688E-01,3.455E-03,1762,583,571,
15.00,e,3.813E-01,3.310E-03,1861,596,589,
16.00,e,3.933E-01,3.179E-03,1957,608,605,
17.00,e,4.046E-01,3.059E-03,2051,619,621,
18.00,e,4.152E-01,2.949E-03,2143,629,636,
20.00,e,4.346E-01,2.755E-03,2323,648,664,
22.50,e,4.556E-01,2.549E-03,2540,669,696,
25.00,e,4.732E-01,2.375E-03,2751,688,726,
27.50,e,4.878E-01,2.226E-03,2956,704,752,
30.00,e,4.999E-01,2.097E-03,3157,720,778,
32.50,e,5.097E-01,1.984E-03,3355,734,801,
35.00,e,5.177E-01,1.883E-03,3550,747,824,
37.50,e,5.240E-01,1.794E-03,3744,759,845,
40.00,e,5.289E-01,1.713E-03,3937,771,866,
45.00,e,5.352E-01,1.575E-03,4320,793,905,
50.00,e,5.380E-01,1.459E-03,4701,814,942,
55.00,e,5.382E-01,1.360E-03,5084,833,977,
60.00,e,5.365E-01,1.276E-03,5468,852,1011,
65.00,e,5.334E-01,1.202E-03,5855,869,1044,
70.00,e,5.293E-01,1.137E-03,6246,886,1077,
80.00,e,5.192E-01,1.028E-03,7041,922,1140,
90.00,e,5.077E-01,9.403E-04,7856,957,1203,
100.00,e,4.957E-01,8.673E-04,8692,991,1265,
110.00,e,4.836E-01,8.057E-04,9550,1024,1326,
120.00,e,4.717E-01,7.531E-04,1.04,1058,1388,
130.00,e,4.603E-01,7.075E-04,1.13,1091,1451,
140.00,e,4.492E-01,6.675E-04,1.23,1124,1513,
150.00,e,4.387E-01,6.322E-04,1.32,1158,1577,
160.00,e,4.286E-01,6.008E-04,1.42,1192,1641,
170.00,e,4.190E-01,5.726E-04,1.52,1226,1706,
180.00,e,4.099E-01,5.471E-04,1.62,1261,1772,
200.00,e,3.930E-01,5.030E-04,1.83,1347,1907,
225.00,e,3.741E-01,4.576E-04,2.11,1466,2081,
250.00,e,3.573E-01,4.203E-04,2.40,1587,2261,
275.00,e,3.423E-01,3.890E-04,2.70,1710,2447,
300.00,e,3.288E-01,3.624E-04,3.02,1835,2638,
325.00,e,3.166E-01,3.395E-04,3.35,1961,2836,
350.00,e,3.055E-01,3.194E-04,3.69,2089,3039,
375.00,e,2.954E-01,3.018E-04,4.05,2219,3248,
400.00,e,2.861E-01,2.862E-04,4.41,2351,3463,
450.00,e,2.696E-01,2.596E-04,5.18,2727,3908,
500.00,e,2.554E-01,2.379E-04,5.99,3098,4373,
550.00,e,2.430E-01,2.197E-04,6.85,3468,4857,
600.00,e,2.321E-01,2.043E-04,7.75,3838,5360,
650.00,e,2.224E-01,1.911E-04,8.69,4209,5881,
700.00,e,2.137E-01,1.795E-04,9.67,4582,6418,
800.00,e,1.986E-01,1.604E-04,11.74,5719,7542,
900.00,e,1.861E-01,1.452E-04,13.97,6806,8728,
1.00,e,1.755E-01,1.328E-04,16.33,7871,9972,
1.10,e,1.663E-01,1.225E-04,18.84,8926,1.13,
1.20,e,1.571E-01,1.137E-04,21.48,9986,1.26,
1.30,e,1.492E-01,1.062E-04,24.28,1.11,1.40,
1.40,e,1.423E-01,9.965E-05,27.22,1.21,1.55,
